,Tickers,day_of
0,CCLP,1998-02-27
1,ITT,1975-07-23
2,JJSF,1981-05-15
3,JJSF,1981-02-26
4,GSQD,1981-06-22
5,GSQD,1983-06-22
6,PCAR,1990-06-20
7,QCOM,2001-06-06
8,QCOM,2001-06-06
9,QCOM,2000-08-08
10,EEH,2004-04-20
11,JJSF,1990-05-15
12,JJSF,1993-06-24
13,JJSF,1994-06-20
14,ITT,1984-06-25
15,MMM,2002-04-17
16,JJSF,1995-06-07
17,MMM,1998-07-01
18,MMM,2001-05-24
19,DDD,2002-11-08
20,UVE,2000-11-01
21,USAC,1993-01-12
22,USAC,1995-05-30
23,USAC,1995-05-30
24,ITT,1980-05-20
25,HVBC,1997-07-01
26,HVBC,1998-11-18
27,ITT,1976-03-11
28,STE,1997-06-11
29,STE,1997-04-17
30,STE,1997-06-11
31,MMM,2002-10-14
32,LYTS,1996-05-24
33,LYTS,1996-05-24
34,ECOL,1988-09-06
35,ECOL,1982-02-23
36,FMC,1992-06-16
37,ITT,1983-03-09
38,FMC,1990-10-22
39,FMC,1990-08-27
40,FMC,1991-11-25
41,DWPP,2001-10-29
42,DWPP,2001-10-26
43,DWPP,2006-09-29
44,DWPP,2007-10-30
45,DWPP,2001-10-26
46,QCOM,2004-09-01
47,QCOM,2004-03-01
48,QCOM,2004-12-22
49,QCOM,2004-12-22
50,QCOM,2004-12-22
51,ITT,1976-01-07
52,ITT,1976-01-07
53,ITT,1975-10-28
54,CNHI,2007-04-30
55,NVDA,2005-07-29
56,E,2001-04-13
57,SCPE,2006-06-06
58,SCPE,2007-09-14
59,ITT,1999-12-21
60,ITT,2001-02-08
61,ITT,2000-11-08
62,ITT,1999-08-23
63,ITT,2003-03-03
64,ITT,2002-02-28
65,ITT,2002-08-29
66,LYTS,2002-09-25
67,LYTS,2003-02-10
68,LYTS,2002-10-09
69,ADT,1985-05-08
70,ADT,1986-04-11
71,ADT,1987-04-13
72,ADT,1988-09-01
73,SAIC,2000-03-21
74,PPD,2005-03-25
75,PPD,2004-02-03
76,PPD,2005-03-07
77,ESE,2003-07-08
78,SAIC,2001-01-26
79,FMC,1994-03-08
80,FMC,1998-06-02
81,FMC,2000-05-22
82,MMM,2005-10-25
83,SP,2004-06-03
84,SP,2005-06-06
85,LYTS,2002-01-22
86,LYTS,2003-12-23
87,LYTS,2003-12-23
88,LYTS,2004-12-07
89,LYTS,2003-03-26
90,LYTS,2004-12-22
91,JJSF,2003-04-01
92,USCR,2002-11-15
93,MMM,2007-08-03
94,FMC,2005-02-25
95,BP,1998-09-11
96,STE,2000-03-31
97,STE,2002-06-12
98,STE,2004-04-01
99,STE,2003-07-15
100,STE,2004-11-23
101,STE,2002-01-14
102,STE,2002-02-15
103,STE,2003-10-21
104,STE,2003-02-28
105,PCAR,1999-07-26
106,PCAR,1999-07-26
107,PCAR,2005-11-01
108,PCAR,2005-09-23
109,PCAR,2007-03-21
110,PCAR,2007-03-21
111,PCAR,2007-03-21
112,PCAR,2007-03-21
113,PCAR,2005-11-01
114,PCAR,2007-03-21
115,ABB,1999-05-12
116,ABB,1999-07-29
117,ABB,2000-12-28
118,ABB,2000-09-01
119,ABB,2001-08-17
120,ABB,2001-12-19
121,ABB,2001-09-06
122,ABB,2001-12-19
123,ABB,2001-07-31
124,PCAR,2007-11-19
125,HNI,2006-03-24
126,HNI,2006-03-24
127,HNI,2006-03-24
128,HNI,2006-03-24
129,HNI,2006-03-24
130,ECOL,1998-06-02
131,CNHI,2003-11-07
132,SAIC,1999-01-04
133,CNHI,2004-12-22
134,E,2001-04-06
135,E,2001-04-06
136,E,2002-08-23
137,E,2001-04-06
138,E,2001-04-06
139,SCPE,2003-12-30
140,SCPE,2005-11-30
141,SCPE,2006-12-12
142,SBFG,2002-10-16
143,EDOG,1991-10-16
144,EDOG,1994-10-16
145,UVE,2004-12-13
146,DDD,1992-06-30
147,DDD,1995-02-15
148,DDD,1997-09-16
149,ITT,1989-06-26
150,NXPI,2005-10-06
151,PPG,1976-08-10
152,ASML,2003-02-20
153,ASML,2005-12-13
154,ASML,2003-02-20
155,PDFS,2003-11-17
156,FLOW,2002-03-14
157,FLOW,2004-04-20
158,FLOW,2004-04-20
159,ASML,2006-07-18
160,QCOM,2006-03-23
161,QCOM,2001-02-21
162,QCOM,2003-12-11
163,QCOM,2001-06-29
164,LYTS,1999-12-16
165,QCOM,2001-08-09
166,QCOM,2001-07-12
167,QCOM,2003-05-28
168,QCOM,2004-06-21
169,QCOM,2003-09-23
170,QCOM,2002-12-05
171,FST.U,1999-08-27
172,SAIC,2000-05-23
173,QCOM,1996-06-11
174,QCOM,1999-01-28
175,QCOM,1998-08-18
176,QCOM,1998-09-04
177,QCOM,1998-10-20
178,QCOM,1998-12-09
179,QCOM,1999-05-24
180,QCOM,2001-04-10
181,QCOM,2001-11-21
182,QCOM,1998-06-26
183,QCOM,1999-11-05
184,QCOM,2001-08-06
185,QCOM,2006-04-03
186,QCOM,2004-01-28
187,QCOM,1998-06-26
188,LYTS,2001-02-09
189,LYTS,2001-02-09
190,LYTS,2003-10-09
191,LYTS,2002-06-06
192,LYTS,2002-06-06
193,QCOM,2000-02-25
194,LYTS,2003-11-14
195,LYTS,2002-05-24
196,MMM,2005-05-03
197,ECOL,1998-09-14
198,ITT,1985-04-03
199,LB,2001-08-06
200,LB,2001-08-31
201,LB,2002-01-28
202,LB,2003-01-09
203,LB,2003-09-10
204,LB,2004-06-15
205,ADCT,1995-10-27
206,NXPI,2003-06-30
207,NXPI,2007-11-21
208,NXPI,2004-06-29
209,DDD,1990-04-27
210,DDD,1992-05-06
211,DDD,1996-12-17
212,DDD,1999-04-05
213,ECOL,1978-04-28
214,AGNG,1974-06-13
215,AGNG,1974-06-13
216,AGNG,1974-06-13
217,AGNG,1975-12-22
218,AGNG,1977-09-23
219,AGNG,1978-03-15
220,AGNG,1978-08-21
221,AGNG,1978-03-15
222,AGNG,1978-08-21
223,AGNG,1978-08-21
224,AGNG,1978-08-21
225,AGNG,1980-01-14
226,NL,1974-11-18
227,KB,1985-05-28
228,KB,1988-04-27
229,KB,1990-02-12
230,KB,1995-11-02
231,KB,1997-04-01
232,LYTS,1992-07-10
233,LYTS,1993-07-01
234,LYTS,1993-07-01
235,LYTS,1994-02-17
236,LYTS,1994-06-02
237,LYTS,1994-05-11
238,LYTS,1994-08-30
239,LYTS,1994-04-22
240,LYTS,1994-12-30
241,LYTS,1995-04-22
242,LYTS,1994-12-30
243,LYTS,1994-12-30
244,LYTS,1995-06-07
245,LYTS,1996-12-16
246,LYTS,1995-12-26
247,LYTS,1995-03-31
248,LYTS,1997-08-19
249,NVDA,2002-06-27
250,NVDA,2002-08-30
251,NVDA,2002-12-12
252,NVDA,2003-08-27
253,NVDA,2002-11-05
254,NVDA,2003-08-22
255,NVDA,2005-12-16
256,NVDA,2003-05-23
257,NVDA,2002-08-29
258,NVDA,2004-09-16
259,NVDA,2004-11-17
260,NVDA,2007-12-07
261,NVDA,2007-12-07
262,NVDA,2005-08-25
263,NVDA,2006-04-05
264,NVDA,2007-12-07
265,NVDA,2007-12-10
266,NVDA,2007-12-10
267,NVDA,2005-01-06
268,NVDA,2004-07-02
269,NVDA,2005-01-06
270,NVDA,2007-12-07
271,FLOW,1999-05-28
272,LYTS,1990-10-18
273,LYTS,1996-07-01
274,LYTS,1996-05-09
275,LYTS,1997-02-14
276,ABB,1993-04-27
277,ABB,1993-04-27
278,ECOL,1992-04-30
279,JJSF,1987-09-16
280,JJSF,1999-02-05
281,FLOW,2003-04-18
282,FLOW,2003-10-31
283,ECOL,2002-11-12
284,FMC,1991-03-25
285,ACEV,2004-03-29
286,XOMA,1994-09-22
287,UVE,1996-06-07
288,UVE,1997-04-25
289,ACIU,1998-11-19
290,LYTS,2000-04-11
291,LYTS,2001-02-28
292,JJSF,2003-04-01
293,DWPP,2000-11-15
294,DWPP,2002-03-08
295,DWPP,2006-09-25
296,SGH,1992-02-19
297,RAPT,2001-03-30
298,SGH,1996-01-16
299,SGH,2000-01-25
300,SGH,2002-09-24
301,SGH,2007-04-02
302,SGH,2006-06-29
303,BP,1997-07-31
304,BP,2000-06-15
305,FLOW,2003-09-22
306,FLOW,2002-12-16
307,LYTS,1994-12-28
308,LYTS,1996-02-07
309,LYTS,1998-03-30
310,SAP,2002-12-20
311,SAP,2002-10-30
312,MMM,2000-10-27
313,ADCT,1993-10-07
314,ADCT,1993-10-08
315,ADCT,1993-06-10
316,ADCT,1993-06-11
317,ADCT,1996-06-10
318,ADCT,1994-02-04
319,ADCT,1999-09-15
320,ADCT,1996-06-28
321,ADCT,1999-09-15
322,RFIL,2005-08-23
323,PSTV,1995-05-17
324,SGH,1995-07-25
325,SGH,2003-08-15
326,FRLG,2004-09-17
327,ABB,1999-08-09
328,NVDA,2006-06-16
329,NVDA,2006-06-16
330,NVDA,2003-12-18
331,NVDA,2003-12-18
332,NVDA,2004-07-29
333,NVDA,2007-03-20
334,PCAR,2005-09-12
335,PCAR,2005-09-12
336,PCAR,2005-09-12
337,PCAR,2005-09-12
338,SCPE,2001-10-09
339,SCPE,2002-10-08
340,SCPE,2005-11-30
341,PQG,1998-08-14
342,BP,2004-12-17
343,DDD,1990-06-28
344,DDD,1992-05-06
345,DDD,1990-10-30
346,DDD,1994-04-20
347,DDD,1994-06-13
348,DDD,1995-10-31
349,DDD,1995-06-07
350,DDD,1996-12-17
351,DDD,1999-04-05
352,DDD,1998-12-18
353,SAP,2004-03-17
354,MMM,2009-06-18
355,ECOL,1994-01-25
356,USCR,1997-09-25
357,USCR,1997-12-22
358,SAIC,1998-06-03
359,MMM,2007-07-13
360,ASML,2001-01-09
361,ARKF,1994-06-06
362,LYTS,2005-11-16
363,MMM,1998-05-01
364,SAIC,2002-08-09
365,SAIC,2002-08-09
366,SAIC,1996-09-30
367,SAIC,1998-06-02
368,SAIC,1998-06-02
369,SAIC,1998-06-02
370,SAIC,1998-06-02
371,SAIC,1998-06-02
372,SAIC,2000-06-30
373,SAIC,2000-10-27
374,SAIC,2000-10-27
375,SAIC,2002-11-26
376,SAIC,2002-11-26
377,SAIC,2003-07-08
378,AGNG,2003-02-17
379,RFIL,2005-06-13
380,NVDA,2004-02-20
381,NVDA,2004-02-20
382,NVDA,2003-06-05
383,ITT,1980-04-30
384,ITT,1981-05-01
385,ASML,2005-11-10
386,EEH,2002-04-25
387,EEH,2003-06-03
388,EEH,2003-08-05
389,IACA,1997-11-20
390,IACA,1997-11-20
391,IACA,1998-09-23
392,UVE,2003-04-07
393,GSQD,2001-11-09
394,LB,1999-08-19
395,VIAO,2006-08-07
396,RES,1998-05-12
397,RES,1997-07-25
398,RES,1997-09-18
399,RES,1997-05-21
400,RES,1999-02-04
401,RES,1999-03-12
402,RES,1999-01-27
403,RES,1998-05-12
404,RES,1999-06-30
405,RES,1999-02-04
406,RES,1999-02-19
407,RES,2000-09-19
408,RES,2001-04-05
409,RES,1997-06-16
410,RES,1997-12-12
411,RES,2000-04-19
412,RES,1999-06-30
413,RES,1999-06-30
414,RES,1999-05-13
415,RES,1997-03-06
416,MTSI,2002-02-01
417,FMC,1977-01-26
418,FMC,1984-02-10
419,AGNG,1982-06-16
420,BP,2006-12-15
421,AME,1996-05-14
422,DNZ,1981-07-30
423,CGBD,1995-03-16
424,CGBD,1996-03-16
425,CGBD,1998-06-03
426,ITT,1974-12-27
427,ITT,1975-10-24
428,ITT,1976-05-10
429,ITT,1977-01-12
430,ITT,1976-11-22
431,ITT,1978-10-06
432,SGBX,1996-06-21
433,NODK,1966-01-03
434,UVE,1983-12-27
435,UVE,1977-12-16
436,UVE,1979-07-25
437,UVE,1981-01-19
438,UVE,1981-01-19
439,UVE,1981-01-12
440,UVE,1985-05-06
441,UVE,1985-05-06
442,NCR,1998-10-02
443,NCR,1998-10-02
444,NCR,1999-10-01
445,PPG,2006-10-24
446,LB,1997-10-22
447,LB,1987-11-04
448,LB,1988-10-21
449,LB,1991-11-20
450,LB,1992-08-14
451,LB,1997-05-15
452,LB,1997-05-15
453,LB,1999-03-04
454,NXPI,2003-10-01
455,NVDA,2004-09-28
456,LYTS,1990-06-25
457,LYTS,1992-03-18
458,LYTS,1993-06-28
459,LYTS,1998-05-04
460,ICLR,2000-12-15
461,MMM,1998-12-08
462,AGCO,1993-12-30
463,AGCO,1995-06-02
464,UVE,1983-06-23
465,UVE,1986-04-15
466,FST.U,1999-11-12
467,LYTS,1998-05-08
468,MMM,2001-02-05
469,MMM,2002-10-08
470,MMM,2006-03-10
471,MMM,2006-03-10
472,MMM,2006-03-10
473,MMM,2006-03-10
474,MMM,2006-03-10
475,MMM,2006-03-10
476,MMM,2006-03-10
477,LYTS,1998-05-28
478,LYTS,1998-06-19
479,LYTS,1998-02-04
480,LYTS,1999-02-04
481,LYTS,2000-01-04
482,LYTS,2001-02-01
483,LYTS,2002-05-15
484,LYTS,2002-04-25
485,LYTS,2002-11-26
486,LYTS,2005-01-06
487,LYTS,2005-11-03
488,LYTS,1996-08-22
489,LYTS,1996-08-22
490,LYTS,1996-11-22
491,LYTS,1997-01-21
492,LYTS,1998-02-04
493,LYTS,1998-02-04
494,LYTS,1998-02-04
495,LYTS,2000-11-30
496,LYTS,2002-09-09
497,KLAC,2001-09-20
498,JJSF,1998-07-28
499,JJSF,2000-04-25
500,JJSF,2002-03-26
501,MMM,2002-04-12
502,MMM,2002-04-12
503,MMM,2003-09-26
504,MMM,2007-07-16
505,MMM,2006-12-14
506,MMM,2004-08-11
507,LYTS,1999-07-02
508,LYTS,2003-08-29
509,ABB,1997-11-10
510,ABB,1995-01-30
511,ABB,1994-04-11
512,ABB,1995-04-11
513,ABB,1996-04-11
514,ABB,1997-02-04
515,ABB,2000-05-26
516,UVE,1997-05-28
517,LYTS,2003-04-18
518,LYTS,2003-11-24
519,LYTS,2005-04-04
520,LYTS,2002-08-23
521,LYTS,2002-12-23
522,LYTS,2003-06-04
523,PPG,1989-06-22
524,PPG,1989-06-22
525,MMM,2000-05-09
526,MMM,2003-03-03
527,QCOM,2005-09-15
528,LYTS,2004-12-16
529,NCR,2002-08-09
530,QCOM,2000-03-30
531,QCOM,2000-08-10
532,QCOM,2000-04-14
533,QCOM,2000-06-29
534,QCOM,1999-09-01
535,QCOM,2001-03-23
536,QCOM,2000-07-12
537,QCOM,2001-11-21
538,QCOM,2002-02-28
539,QCOM,2001-06-22
540,QCOM,2002-12-09
541,QCOM,2000-07-24
542,QCOM,2000-09-01
543,QCOM,2003-11-12
544,QCOM,2003-09-23
545,QCOM,2006-01-09
546,QCOM,2003-01-30
547,QCOM,2005-07-15
548,QCOM,2005-11-03
549,QCOM,2004-04-16
550,QCOM,2004-09-28
551,QCOM,2004-02-23
552,QCOM,2001-05-07
553,QCOM,2005-10-12
554,QCOM,2004-09-13
555,QCOM,2005-07-15
556,QCOM,2006-09-07
557,QCOM,2003-05-01
558,MITT,1992-02-25
559,ADCT,1997-04-04
560,LYTS,2005-04-26
561,LYTS,2005-03-31
562,LYTS,2005-05-18
563,ADCT,1998-11-12
564,ADCT,1999-12-22
565,ADCT,2001-12-31
566,ADCT,2003-05-02
567,ADCT,1999-12-14
568,ADCT,2004-08-24
569,ADCT,2005-04-05
570,ADCT,2006-06-26
571,ADCT,2001-05-10
572,ADCT,2007-05-16
573,NCR,2001-08-22
574,NCR,2000-06-15
575,NCR,2001-06-05
576,NCR,2001-05-08
577,NCR,2001-12-26
578,NCR,2003-10-29
579,NCR,2004-01-22
580,NCR,2004-02-19
581,USAC,2005-06-24
582,USAC,2005-06-24
583,USAC,2005-06-24
584,USAC,2005-06-24
585,USAC,2005-10-05
586,USAC,2008-06-16
587,QCOM,1999-07-23
588,QCOM,2000-09-25
589,QCOM,2002-06-20
590,QCOM,2000-11-30
591,QCOM,2000-06-05
592,QCOM,2003-04-10
593,ADCT,1997-08-22
594,MMM,2004-02-18
595,PFIN,2000-09-27
596,PFIN,2002-10-28
597,MMM,2000-09-08
598,MMM,1999-10-07
599,MMM,2001-05-16
600,MMM,2001-06-19
601,MMM,2002-07-22
602,MMM,2002-02-20
603,MMM,2003-07-03
604,MMM,2002-04-12
605,MMM,2003-06-04
606,MMM,2004-08-11
607,MMM,2004-08-11
608,MMM,2005-09-19
609,MMM,2005-07-13
610,MMM,2004-08-11
611,MMM,1998-12-11
612,MMM,1998-12-18
613,MMM,1998-12-18
614,MMM,1998-12-18
615,MMM,2001-05-16
616,MMM,2001-04-05
617,MMM,1999-09-28
618,MMM,1999-09-28
619,MMM,2000-07-19
620,MMM,2000-07-19
621,MMM,2000-07-19
622,MMM,2002-08-02
623,MMM,2002-08-02
624,MMM,2003-02-05
625,MMM,2002-08-02
626,MMM,2003-09-05
627,MMM,2003-12-18
628,MMM,2003-02-05
629,MMM,2002-08-02
630,MMM,2002-08-02
631,ADCT,1996-04-09
632,ADCT,1996-08-12
633,LYTS,1990-04-06
634,LYTS,1994-12-13
635,LYTS,1997-08-04
636,MMM,2000-11-02
637,MMM,2001-04-02
638,MMM,2002-02-19
639,MMM,2002-06-07
640,MMM,2001-12-06
641,MMM,2000-02-01
642,MMM,1999-11-24
643,CVS,2008-01-29
644,UVE,1999-04-06
645,LYTS,2001-05-31
646,LYTS,2001-04-25
647,LYTS,2001-03-28
648,LYTS,2001-02-20
649,LYTS,2001-06-19
650,LYTS,2001-11-20
651,LYTS,2001-04-25
652,LYTS,2000-12-14
653,LYTS,2001-09-19
654,LYTS,2001-04-25
655,LYTS,2001-12-12
656,LYTS,2002-03-27
657,LYTS,2002-09-25
658,LYTS,2002-11-19
659,LYTS,2001-12-12
660,LYTS,2003-07-10
661,LYTS,2005-01-24
662,LYTS,2006-04-11
663,FMC,2000-09-28
664,DWPP,2000-08-23
665,DWPP,2000-11-20
666,LYTS,2004-08-10
667,LYTS,2004-09-22
668,LYTS,2005-06-14
669,LYTS,2008-01-25
670,LYTS,2005-11-14
671,LYTS,2005-03-31
672,LYTS,2006-06-09
673,MMM,2003-07-22
674,MMM,2005-02-28
675,MMM,2004-08-31
676,LYTS,2000-12-14
677,NVDA,2004-02-18
678,ABB,2002-11-20
679,MMM,2005-12-23
680,ADCT,2005-05-25
681,ADCT,2008-01-24
682,QCOM,2006-10-30
683,QCOM,2005-05-25
684,ABB,2006-11-01
685,PPG,1996-11-27
686,PPG,1985-12-30
687,PPG,1985-12-30
688,PPG,1986-09-15
689,ABB,1997-03-27
690,BP,1999-09-29
691,QCOM,2004-11-18
692,ABB,2001-10-22
693,PFIN,1991-03-29
694,PFIN,1992-04-24
695,LYTS,2005-10-11
696,LYTS,2004-06-09
697,LYTS,2004-10-05
698,ARC,2003-02-20
699,ARC,2003-09-23
700,ABB,1991-04-11
701,ABB,1991-02-15
702,ABB,1992-02-25
703,ABB,1993-02-04
704,ABB,1994-01-21
705,ABB,1994-08-02
706,ABB,1995-11-02
707,ABB,2001-10-10
708,ABB,2006-05-24
709,PFIN,1985-08-09
710,PFIN,1986-04-30
711,PFIN,1989-02-16
712,ECOL,1996-12-27
713,LYTS,2000-10-31
714,LYTS,2001-06-14
715,CMS,2002-08-20
716,GSQD,1990-09-07
717,GSQD,1990-09-07
718,GSQD,1991-07-02
719,PFIN,1988-07-05
720,ADCT,1999-01-11
721,ADCT,2002-09-11
722,ADCT,2005-10-07
723,ADCT,2007-04-05
724,TCP,1991-02-04
725,MWA,1990-10-02
726,MWA,1992-01-23
727,MWA,1993-11-23
728,AGCO,1994-11-28
729,AGCO,1995-04-19
730,EMKR,2004-07-08
731,PPG,2003-02-13
732,XRAY,2001-02-22
733,BP,1998-04-03
734,BP,1997-09-22
735,BP,1997-04-25
736,BP,1999-01-20
737,BP,1999-02-05
738,BP,1997-07-01
739,BP,2003-03-13
740,DWPP,2003-03-10
741,DWPP,2003-03-10
742,ECOL,1996-11-25
743,ECOL,1995-03-20
744,ECOL,1997-12-18
745,QCOM,2000-09-22
746,UVE,1996-06-07
747,ADCT,2002-03-21
748,PCPL.U,1998-05-22
749,LB,2000-12-04
750,LYTS,1996-02-02
751,LYTS,1996-08-15
752,LYTS,1996-09-06
753,LYTS,1996-02-02
754,LYTS,1996-04-19
755,LYTS,1996-08-22
756,LYTS,1996-03-12
757,LYTS,1996-08-15
758,LYTS,1996-02-02
759,LYTS,1997-06-26
760,UVE,1996-11-27
761,NCR,1996-02-09
762,DSPG,1997-11-20
763,DSPG,1997-11-20
764,LYTS,2004-09-22
765,SAIC,2002-03-19
766,MTSI,2003-03-11
767,MTSI,2003-10-14
768,SAIC,2000-12-18
769,GVP,1996-08-16
770,SAIC,1998-07-22
771,SAIC,1999-11-23
772,SAIC,2001-09-17
773,PCAR,1994-08-25
774,FMC,1986-07-31
775,MKSI,2005-11-07
776,FLOW,2003-05-29
777,LYTS,2001-11-07
778,LYTS,2001-10-11
779,STOR,1996-11-08
780,DWPP,1994-01-21
781,ITT,1973-10-19
782,FRPH,2001-06-07
783,FRPH,2001-06-07
784,JJSF,2005-12-21
785,ITT,1982-01-29
786,ITT,1984-08-24
787,GSQD,1973-10-18
788,GSQD,1974-10-02
789,DWPP,2005-04-19
790,MMM,1999-02-09
791,MMM,2000-04-05
792,MMM,2002-01-16
793,MMM,2004-11-22
794,MMM,2005-11-15
795,MMM,2005-11-15
796,MMM,2005-12-27
797,MMM,2005-11-15
798,MMM,2005-11-15
799,MMM,2007-10-02
800,MMM,2007-10-02
801,MMM,2007-10-01
802,MMM,2007-10-02
803,NCR,2004-06-22
804,NCR,1979-07-05
805,NCR,1980-08-21
806,PPG,1985-01-02
807,PPG,1986-12-22
808,PPG,1989-11-14
809,PPG,1996-11-27
810,PPG,1996-02-16
811,PPG,2003-02-06
812,PPG,2004-01-09
813,ARR,1975-08-14
814,ABB,1998-07-01
815,ECOL,1990-11-05
816,UVE,2000-10-19
817,UVE,1981-11-09
818,PCPL.U,2004-07-22
819,NL,1974-01-07
820,NL,1975-07-07
821,NL,1976-04-26
822,NL,1976-08-02
823,NL,1978-06-30
824,ITT,1975-02-26
825,HPQ,2000-01-19
826,ITT,1992-08-31
827,CNHI,2000-12-28
828,KLAC,1994-03-17
829,KLAC,1995-01-11
830,KLAC,1996-05-27
831,KLAC,1996-02-26
832,FMC,1995-12-20
833,MMM,1999-03-12
834,MMM,1999-10-06
835,MMM,2001-12-28
836,DWPP,1989-07-10
837,DWPP,1989-07-10
838,AGCO,2000-06-07
839,DWPP,1996-12-24
840,GSQD,1992-06-03
841,ITT,2003-05-29
842,NCR,1982-10-07
843,NCR,1984-09-28
844,NCR,1986-09-22
845,LYTS,1998-12-08
846,LYTS,1998-12-08
847,LYTS,2002-04-15
848,LYTS,2001-11-15
849,LYTS,2001-11-20
850,LYTS,2007-06-28
851,LYTS,1996-11-12
852,LYTS,1998-10-13
853,MMM,1997-10-01
854,MMM,1997-10-01
855,MMM,2000-01-18
856,MMM,2000-01-18
857,MMM,1997-10-01
858,MMM,2000-01-18
859,MMM,1999-01-04
860,MMM,2000-01-18
861,MMM,1999-10-08
862,MMM,1999-10-08
863,MMM,2001-09-25
864,MMM,2002-06-04
865,MMM,2005-05-02
866,LYTS,1996-06-28
867,LYTS,1997-09-12
868,LYTS,1997-03-17
869,LB,2001-03-22
870,DWPP,1996-04-29
871,DWPP,1997-08-25
872,DWPP,1997-08-25
873,ITT,1999-11-03
874,ITT,2002-01-22
875,MMM,1998-08-25
876,MMM,1998-08-25
877,GPX,1997-09-02
878,NCR,1986-02-05
879,GSQD,1989-05-30
880,GSQD,1992-11-06
881,GSQD,1995-05-18
882,GSQD,1994-03-07
883,GSQD,1981-01-30
884,GSQD,1981-11-23
885,GSQD,1983-11-10
886,GSQD,1982-10-12
887,GSQD,1986-07-17
888,GSQD,1986-08-18
889,GSQD,1986-07-17
890,GSQD,1989-09-05
891,GSQD,1991-03-07
892,GSQD,1992-06-10
893,GSQD,1992-06-10
894,GSQD,1992-06-10
895,GSQD,1991-03-07
896,GSQD,1992-06-24
897,GSQD,1992-06-10
898,GSQD,1992-06-24
899,GSQD,1992-12-15
900,GSQD,1993-10-21
901,GSQD,1992-11-06
902,GSQD,1994-06-22
903,GSQD,1995-05-19
904,GSQD,1994-11-08
905,GSQD,1995-05-19
906,GSQD,1995-03-07
907,GSQD,1995-03-07
908,GSQD,1995-03-07
909,CAE,1998-12-24
910,CAE,2001-10-12
911,PPG,1995-03-22
912,PPG,1997-02-05
913,PPG,1995-07-28
914,PPG,1996-09-10
915,PPG,1997-06-13
916,PPG,1998-06-19
917,PPG,1997-06-13
918,PPG,1999-07-22
919,PPG,2000-09-15
920,PPG,2002-06-27
921,PPG,2002-06-27
922,PPG,2002-08-26
923,PPG,2003-09-22
924,PPG,2002-06-27
925,PPG,2002-06-27
926,PPG,2004-08-03
927,PPG,2002-12-13
928,PPG,2003-06-19
929,PPG,2005-09-12
930,PPG,2002-11-08
931,PPG,2006-07-19
932,PPG,2004-11-11
933,GSQD,1995-06-30
934,GSQD,1996-07-22
935,GSQD,1983-11-14
936,GSQD,1984-02-16
937,GSQD,1985-11-25
938,GSQD,1985-11-14
939,GSQD,1984-11-07
940,GSQD,1987-06-30
941,GSQD,1988-06-10
942,GSQD,1988-07-28
943,GSQD,1990-06-28
944,GSQD,1991-11-04
945,GSQD,1994-10-11
946,GSQD,1997-03-27
947,GSQD,1997-03-27
948,GSQD,1998-08-28
949,NCR,2000-07-28
950,DSPG,1998-05-13
951,DSPG,1997-11-12
952,DSPG,1998-09-04
953,DSPG,1998-10-19
954,DSPG,1998-05-13
955,DSPG,1998-09-04
956,DSPG,1998-09-04
957,DSPG,1998-09-04
958,DSPG,1998-09-04
959,ECOL,1995-02-17
960,DWPP,1985-09-11
961,DWPP,1993-06-23
962,DWPP,1996-08-12
963,GSQD,1999-04-08
964,PPG,1979-12-03
965,PPG,1981-07-31
966,ACIU,1993-03-10
967,ACIU,1993-03-10
968,ACIU,1994-10-24
969,ACIU,1996-04-18
970,ACIU,1993-03-10
971,ACIU,1998-04-10
972,MMM,1998-11-24
973,CNHI,2006-07-12
974,CNHI,2006-07-12
975,QCOM,2007-01-29
976,QCOM,2006-09-29
977,ABB,2000-04-03
978,MMM,2001-02-01
979,MMM,2000-05-31
980,MMM,2002-12-23
981,MMM,2003-03-20
982,QCOM,1999-07-29
983,MMM,1998-03-24
984,QCOM,2004-06-09
985,ITT,1974-04-18
986,ECOL,1990-11-05
987,MMM,2003-01-17
988,ITT,1973-09-18
989,ITT,1993-12-03
990,FMC,1984-03-12
991,NCR,1985-09-16
992,NCR,1985-09-16
993,NCR,1988-02-12
994,NCR,1988-06-15
995,NCR,1988-04-04
996,NCR,1988-12-08
997,NCR,1988-04-01
998,NCR,1990-06-26
999,ITT,1974-12-12
1000,ITT,1990-06-11
1001,LYTS,2004-08-19
1002,STE,2001-03-21
1003,STE,2000-02-07
1004,STE,2000-02-07
1005,STE,2000-02-07
1006,STE,2000-07-14
1007,STE,2001-02-07
1008,STE,2003-01-15
1009,ACEV,1990-01-12
1010,MMM,1997-04-22
1011,PPG,1982-02-11
1012,PPG,1982-02-11
1013,PPG,1989-02-23
1014,PPG,1992-03-06
1015,PPG,1998-06-23
1016,PPG,1997-12-08
1017,PPG,1998-07-10
1018,PPG,1999-02-22
1019,PPG,1999-02-22
1020,PPG,1999-04-22
1021,PPG,1999-04-22
1022,PPG,1999-10-29
1023,PPG,1999-02-22
1024,PPG,2001-05-15
1025,PPG,2005-04-08
1026,PPG,2003-10-01
1027,MTSC,1997-11-03
1028,MTSC,2001-07-17
1029,NCR,1974-05-06
1030,ITT,1978-03-17
1031,ITT,1978-03-17
1032,ITT,1978-03-17
1033,ITT,1981-07-20
1034,DWPP,1999-02-23
1035,NCR,1995-10-12
1036,NCR,1995-10-12
