,Tickers,day_of
60411,LB,2000-08-11
60412,LB,2000-08-11
60413,AMNA,2001-02-08
60414,AMNA,2001-11-02
60415,USAC,2000-01-25
60416,LYTS,1994-11-10
60417,FLOW,1999-02-23
60418,FLOW,2001-03-06
60419,FLOW,2001-07-24
60420,FLOW,2001-05-30
60421,MAG,1995-06-07
60422,ACR,1999-02-04
60423,ACR,2003-03-13
60424,ACR,2002-07-02
60425,PPG,2000-11-03
60426,UVE,1982-04-28
60427,DNZ,1973-06-27
60428,UVE,1983-07-06
60429,PDFS,2005-11-04
60430,ITT,1973-10-01
60431,ITT,1973-10-01
60432,SAIC,1977-09-07
60433,GSQD,1977-09-14
60434,GSQD,1993-06-25
60435,QCOM,1997-10-29
60436,ITT,1998-07-07
60437,ITT,2002-08-08
60438,STE,1998-11-06
60439,STE,2000-02-07
60440,DNZ,1988-12-19
60441,DNZ,1990-09-11
60442,PCTI,2003-11-17
60443,LB,1975-09-12
60444,ADCT,2002-06-25
60445,QCOM,2003-12-03
60446,QCOM,2003-11-19
60447,QCOM,2006-04-05
60448,PRAA,1977-03-02
60449,CECE,1987-05-20
60450,CECE,1989-04-28
60451,CECE,1997-12-08
60452,MMM,1999-08-19
60453,ABB,1999-07-29
60454,ABB,2001-07-27
60455,ABB,2001-12-21
60456,ABB,2003-12-23
60457,LB,1979-10-31
60458,LB,1979-10-31
60459,UVE,1974-02-01
60460,UVE,1979-05-07
60461,UVE,1974-02-01
60462,UVE,1979-05-07
60463,PDSB,2005-05-02
60464,LYTS,2005-03-11
60465,ADCT,1996-12-09
60466,ADCT,1997-11-17
60467,ADCT,2001-12-12
60468,LYTS,2001-06-20
60469,LYTS,2001-06-20
60470,LYTS,2001-08-10
60471,LYTS,2002-10-07
60472,LYTS,2001-09-20
60473,LYTS,2003-07-08
60474,LYTS,2001-04-27
60475,LYTS,2003-04-22
60476,LYTS,2003-05-12
60477,LYTS,2003-08-11
60478,LYTS,2003-06-18
60479,LYTS,2003-06-02
60480,LYTS,2003-04-22
60481,LYTS,2005-11-18
60482,LYTS,2005-04-01
60483,LYTS,2005-07-29
60484,ECOL,1983-01-11
60485,CTIC,2000-10-04
60486,CTIC,2001-07-13
60487,CTIC,2001-07-13
60488,CTIC,2001-12-06
60489,CTIC,2001-12-06
60490,ECOL,1994-07-14
60491,ATEN,2006-06-02
60492,MITT,2001-01-05
60493,LYTS,2000-09-28
60494,ICLR,1991-07-02
60495,WCC,1998-08-12
60496,QCOM,1999-10-19
60497,BP,1998-11-06
60498,ADT,2000-10-04
60499,KLAC,1994-03-17
60500,BOAS.U,1993-03-31
60501,SPI,2000-01-14
60502,BEST,1999-07-01
60503,FMC,1996-05-21
60504,UVE,2000-01-21
60505,UVE,2000-01-21
60506,WEC,1997-01-07
60507,WEC,1998-07-29
60508,WEC,1999-11-01
60509,WEC,1999-11-01
60510,WEC,1999-11-01
60511,WEC,2000-03-16
60512,WEC,2000-03-16
60513,NCR,1991-10-16
60514,NCR,1991-10-01
60515,MMM,1997-12-23
60516,MMM,1997-10-24
60517,MMM,1997-10-23
60518,MMM,1997-04-04
60519,MMM,2000-09-12
60520,MMM,1999-01-29
60521,MMM,1999-09-01
60522,MMM,2000-06-14
60523,MMM,2001-12-20
60524,MMM,2001-02-12
60525,MMM,2000-09-12
60526,MMM,1999-01-29
60527,MMM,2001-08-20
60528,MMM,2002-11-26
60529,MMM,2006-08-24
60530,MMM,1998-03-23
60531,FMC,1997-03-05
60532,CPSH,1995-09-03
60533,AGNG,1989-12-04
60534,UVE,1976-01-19
60535,MTSI,1986-05-19
60536,LYTS,1998-07-31
60537,LYTS,1998-07-31
60538,LYTS,1996-08-15
60539,LYTS,1998-07-31
60540,LYTS,1998-12-18
60541,OSIS,2005-03-31
60542,FMC,1988-12-23
60543,FMC,1988-12-09
60544,FMC,1988-12-20
60545,FMC,1992-04-29
60546,TOPS,1998-05-13
60547,CVV,1991-07-15
60548,CVV,1993-06-08
60549,CVV,1992-10-13
60550,CVV,1994-11-17
60551,CVV,1995-05-01
60552,CVV,1995-02-24
60553,CVV,1995-12-14
60554,CVV,1995-11-23
60555,CVV,1995-11-23
60556,CVV,1995-04-13
60557,CVV,1996-04-13
60558,CVV,1996-05-03
60559,CVV,1995-07-15
60560,CVV,1996-02-06
60561,UVE,1999-02-03
60562,MKSI,1990-11-19
60563,EEH,2002-01-14
60564,OSIS,1995-09-13
60565,NCR,1996-11-19
60566,HPQ,1997-01-10
60567,HPQ,1998-11-17
60568,AGNG,1989-09-28
60569,DWPP,1995-11-01
60570,DWPP,1994-09-16
60571,ANSS,2000-04-19
60572,MAG,1995-05-04
60573,FMC,1977-09-16
60574,FMC,1974-11-04
60575,PFIN,2000-01-28
60576,ITT,2002-07-09
60577,ITT,2001-07-23
60578,ITT,2001-08-03
60579,PPG,1978-08-28
60580,PPG,1979-09-19
60581,LB,1988-02-26
60582,PFIN,1975-07-17
60583,PFIN,1975-06-30
60584,PFIN,1975-07-23
60585,FLOW,2003-07-30
60586,ADTN,2003-12-04
60587,NCR,1991-12-13
60588,NCR,1996-07-02
60589,MMM,2001-11-27
60590,UVE,2004-05-20
60591,QCOM,1999-07-02
60592,SGH,2005-11-14
60593,GSIT,2005-09-08
60594,RFIL,2001-06-11
60595,LB,1978-07-07
60596,LB,1992-01-23
60597,ITT,1974-09-03
60598,ITT,1974-09-18
60599,LYTS,2001-05-15
60600,LYTS,2001-01-12
60601,SAIC,2001-01-18
60602,SAIC,2003-12-01
60603,DIT,1987-05-26
60604,MMM,1999-04-01
60605,MMM,2002-09-20
60606,MMM,2003-08-08
60607,ABB,1996-10-16
60608,QCOM,2001-12-05
60609,ABB,1991-05-20
60610,ABB,1991-05-20
60611,ABB,1991-08-29
60612,ABB,1991-08-29
60613,ABB,1993-05-10
60614,ABB,1992-07-27
60615,ABB,1992-07-27
60616,ABB,1994-02-07
60617,ABB,1994-06-06
60618,ABB,1993-06-18
60619,ABB,1995-01-13
60620,ABB,1995-05-15
60621,ABB,1995-10-25
60622,ABB,1997-10-14
60623,ABB,1995-09-12
60624,MMM,2001-01-12
60625,MMM,2001-12-05
60626,MMM,2003-04-10
60627,MMM,2001-06-15
60628,MMM,2001-12-21
60629,PPG,1997-06-30
60630,PPG,1996-07-22
60631,PPG,1997-04-29
60632,PPG,1997-08-22
60633,PPG,1998-05-04
60634,PPG,2003-02-13
60635,AME,1973-05-29
60636,AME,1974-01-25
60637,AME,1973-10-15
60638,AME,1973-10-09
60639,MMM,1997-10-03
60640,MMM,1995-06-06
60641,MMM,1996-12-11
60642,MMM,2000-02-14
60643,MMM,2002-09-24
60644,MMM,2001-09-17
60645,MMM,2001-11-05
60646,MMM,2003-01-23
60647,MMM,2001-11-05
60648,MMM,2002-04-12
60649,MMM,2003-10-20
60650,MMM,2003-12-22
60651,MMM,2003-03-13
60652,MMM,2006-06-23
60653,NCR,2005-11-09
60654,NCR,2003-12-08
60655,USCR,2006-07-11
60656,FMC,1979-06-06
60657,FMC,1980-06-30
60658,FMC,1997-10-15
60659,FMC,2001-06-01
60660,ECOL,1987-10-29
60661,MMM,2004-09-24
60662,PPG,1979-02-26
60663,PPG,1990-06-11
60664,PPG,1991-12-19
60665,PPG,1996-12-16
60666,PPG,1995-12-20
60667,PPG,1996-12-04
60668,PPG,1995-12-20
60669,PPG,1996-12-04
60670,PPG,1997-11-24
60671,PPG,2000-02-16
60672,JJSF,1999-03-16
60673,JJSF,1999-02-24
60674,GSQD,1973-06-18
60675,GSQD,1973-04-30
60676,GSQD,1975-01-03
60677,GSQD,1976-03-10
60678,GSQD,1981-07-27
60679,GSQD,1982-05-06
60680,GSQD,1983-03-03
60681,GSQD,1983-12-23
60682,GSQD,1985-09-18
60683,GSQD,1985-11-29
60684,GSQD,1987-05-07
60685,GSQD,1988-10-14
60686,GSQD,1991-05-10
60687,HPQ,2002-09-05
60688,SCPE,2002-11-27
60689,SCPE,2003-06-11
60690,SCPE,2004-06-10
60691,SCPE,2006-06-15
60692,SCPE,2006-11-29
60693,SCPE,2003-06-19
60694,SCPE,2006-07-17
60695,NCR,1986-02-18
60696,AIM,1996-03-29
60697,GPX,2000-12-07
60698,GPX,2000-12-07
60699,GPX,2003-04-11
60700,GSQD,1990-12-17
60701,FMC,1986-03-25
60702,FMC,1986-04-14
60703,ECOL,2002-05-15
60704,ECOL,2005-02-09
60705,USAC,1993-01-12
60706,USAC,1995-05-30
60707,USAC,1995-05-30
60708,MMM,1998-09-29
60709,MMM,1998-01-13
60710,MMM,1998-01-13
60711,MMM,1998-01-13
60712,MMM,1998-01-13
60713,MMM,2000-02-16
60714,MMM,2000-09-26
60715,MMM,2000-07-05
60716,MMM,2000-07-05
60717,MMM,2001-04-06
60718,MMM,2001-08-15
60719,MMM,2000-01-31
60720,MMM,2004-05-27
60721,MMM,2002-05-28
60722,MMM,2002-07-17
60723,MMM,2003-12-17
60724,MMM,2005-03-02
60725,MMM,2005-12-08
60726,MMM,2004-12-30
60727,MMM,2004-12-30
60728,MMM,2004-12-30
60729,MMM,2001-09-10
60730,MMM,2003-11-06
60731,ITT,1975-08-11
60732,ITT,1978-03-06
60733,ITT,1979-07-20
60734,ITT,1985-04-10
60735,ITT,1977-04-18
60736,UVE,1989-04-25
60737,UVE,1973-02-22
60738,UVE,1979-11-07
60739,QCOM,2007-03-15
60740,GSQD,1993-11-30
60741,GSQD,1994-07-21
60742,GSQD,1995-07-21
60743,GSQD,1995-02-10
60744,GSQD,1996-11-30
60745,GSQD,1996-09-25
60746,GSQD,1995-06-06
60747,GSQD,1997-08-08
60748,GSQD,1997-06-09
60749,GSQD,1998-07-28
60750,FLOW,2005-04-11
60751,FLOW,2005-04-29
60752,ITT,2007-11-06
60753,ITT,2007-11-06
60754,ITT,2007-11-08
60755,ITT,2007-11-06
60756,LYTS,2003-10-10
60757,SAP,2005-01-03
60758,QCOM,1999-04-12
60759,QCOM,1998-07-10
60760,QCOM,1998-12-14
60761,QCOM,2001-12-19
60762,QCOM,1997-07-15
60763,QCOM,1998-01-09
60764,ADCT,1997-03-20
60765,REVG,1975-02-03
60766,LYTS,2003-02-03
60767,EMKR,2003-09-09
60768,EMKR,2003-09-15
60769,EMKR,2005-01-24
60770,GSQD,2006-03-31
60771,GSQD,2006-03-31
60772,GSQD,2006-03-31
60773,GSQD,2006-03-31
60774,GSQD,2006-03-31
60775,GSQD,2006-03-31
60776,GSQD,2006-03-31
60777,GSQD,2006-03-31
60778,MMM,1999-05-14
60779,MMM,2000-04-03
60780,MMM,2001-01-08
60781,MMM,2002-01-17
60782,ARC,1985-05-20
60783,ABB,1993-11-23
60784,ABB,1996-07-30
60785,ABB,1996-03-01
60786,JJSF,1988-08-04
60787,ABB,1991-03-05
60788,ARR,1973-06-21
60789,ARR,1971-10-22
60790,JJSF,1998-10-30
60791,GSQD,1996-12-11
60792,GSQD,1998-05-19
60793,GSQD,2000-05-30
60794,GSQD,2001-08-07
60795,GSQD,2003-08-25
60796,PPG,1980-09-22
60797,PPG,1986-08-07
60798,GSQD,1990-05-03
60799,JJSF,1987-09-21
60800,PCAR,2002-02-04
60801,ABB,1990-07-16
60802,MWA,2007-06-12
60803,MWA,2002-02-08
60804,MWA,2007-06-12
60805,MWA,2003-02-07
60806,MWA,2004-06-11
60807,ITT,1975-11-17
60808,ECOL,1992-01-27
60809,FLOW,1999-10-29
60810,MMM,1999-04-13
60811,MMM,1998-10-05
60812,MMM,2000-03-08
60813,MMM,1999-11-19
60814,MMM,1999-10-04
60815,MMM,2000-08-11
60816,MMM,2002-10-29
60817,MMM,2003-05-12
60818,MMM,2001-03-29
60819,MMM,2001-10-17
60820,AME,1992-07-17
60821,AME,1993-06-02
60822,NL,1974-08-29
60823,NL,1974-06-11
60824,ECOL,1998-05-28
60825,BP,1999-04-07
60826,BP,1999-04-22
60827,BP,1999-11-11
60828,BP,2006-07-07
60829,BP,2006-02-21
60830,ECOL,1975-06-13
60831,ECOL,1976-01-09
60832,ESM.U,1983-03-28
